"filename", "language", "JSON", "TypeScript", "JSON with Comments", "YAML", "PHP", "JavaScript", "Ignore", "XML", "TypeScript JSX", "Markdown", "CSS", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_164451_update_court_orders_table_for_one_page_form.php", "PHP", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 6, 43
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_164508_update_medical_records_table_for_one_page_form.php", "PHP", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 5, 42
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_164526_update_physical_characteristics_table_for_one_page_form.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 5, 43
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_170940_update_medical_record_and_remove_medical_record_tbl.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 6, 34
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_200659_remove_archive_case_number.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 4, 25
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_200714_remove_archive_case_number.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_200724_remove_archive_case_number.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 4, 25
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_09_151517_create_cell_transfer_logs_table.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 5, 41
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_09_165010_add_pdl_ids_to_activity_table.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 6, 38
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_14_012334_add_mugshot_to_pdl_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_184140_add_agency_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_192704_add_court_table.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_200511_update_court_order_table.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 10, 5, 28
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_230806_update_activity_table.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 7, 36
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_18_001054_update_change_divorce_to_anullment_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 9, 8, 37
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_19_155121_create_request_logs_table.php", "PHP", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_19_164339_update_cell.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_19_170515_update_court.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\xampp\htdocs\pdl-is\database\schema\mysql-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 609, 0, 3, 612
"c:\xampp\htdocs\pdl-is\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 4, 19
"c:\xampp\htdocs\pdl-is\database\seeders\PersonnelSeeder.php", "PHP", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 9, 72
"c:\xampp\htdocs\pdl-is\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 2, 45
"c:\xampp\htdocs\pdl-is\package-lock.json", "JSON", 10143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10144
"c:\xampp\htdocs\pdl-is\package.json", "JSON", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"c:\xampp\htdocs\pdl-is\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\pdl-is\public\build\assets\PieChart-BKSYQMwV.js", "JavaScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 11, 1, 79
"c:\xampp\htdocs\pdl-is\public\build\assets\accordion-CI9yjvea.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\alert-H5bhuK7p.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-0i_fFd18.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 35, 13, 124
"c:\xampp\htdocs\pdl-is\public\build\assets\app-DhVVAe0s.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\app-layout-DMq9_fqY.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 32, 8, 86
"c:\xampp\htdocs\pdl-is\public\build\assets\appearance-BNSZixrX.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 12, 1, 17
"c:\xampp\htdocs\pdl-is\public\build\assets\archive-B9Uombcr.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\archive-KkLxy3_l.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\archived-BGHQU89u.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\arrow-left-Bf-TA_WP.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 1, 7
"c:\xampp\htdocs\pdl-is\public\build\assets\badge-DDEXAs5P.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\button-OH02krXJ.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 16, 1, 22
"c:\xampp\htdocs\pdl-is\public\build\assets\calendar-BX--AMhk.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\card-CY_EzAZa.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\case-information-ClPNQ3Bs.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\pdl-is\public\build\assets\cell-activity-log-DYjqU8-O.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
