"filename", "language", "PHP", "JavaScript", "TypeScript", "JSON", "TypeScript JSX", "CSS", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\bootstrap\app.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_20_000752_add_middlename.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_163812_remove_court_order_laboratory_results.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 6, 6, 37
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_164451_update_court_orders_table_for_one_page_form.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 9, 6, 43
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_164508_update_medical_records_table_for_one_page_form.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 9, 5, 42
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_164526_update_physical_characteristics_table_for_one_page_form.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 8, 5, 43
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_170940_update_medical_record_and_remove_medical_record_tbl.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 6, 6, 34
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_200659_remove_archive_case_number.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 8, 4, 25
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_200714_remove_archive_case_number.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_09_21_200724_remove_archive_case_number.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 8, 4, 25
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_09_151517_create_cell_transfer_logs_table.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 6, 5, 41
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_09_165010_add_pdl_ids_to_activity_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 8, 6, 38
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_14_012334_add_mugshot_to_pdl_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_184140_add_agency_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_192704_add_court_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_200511_update_court_order_table.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 10, 5, 28
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_17_230806_update_activity_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 7, 7, 36
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_18_001054_update_change_divorce_to_anullment_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 9, 8, 37
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_19_155121_create_request_logs_table.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_19_164339_update_cell.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\pdl-is\database\migrations\2025_10_19_170515_update_court.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\xampp\htdocs\pdl-is\database\schema\mysql-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 239
"c:\xampp\htdocs\pdl-is\database\seeders\PersonnelSeeder.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, -26, 2, 9
"c:\xampp\htdocs\pdl-is\docs\database\database documentation.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -384, 0, -60, -444
"c:\xampp\htdocs\pdl-is\docs\global-search-system.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -185, 0, -53, -238
"c:\xampp\htdocs\pdl-is\docs\law-enforcement-dashboard.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -148, 0, -44, -192
