"filename", "language", "PHP", "TypeScript JSX", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\pdl-is\resources\js\features\time-allowance\manage-time-allowance.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 1, 2, 30
"c:\xampp\htdocs\pdl-is\resources\js\features\time-allowance\time-allowance-records.tsx", "TypeScript JSX", 0, 333, 0, 0, 0, 2, 26, 361
"c:\xampp\htdocs\pdl-is\resources\js\features\verification\verification-card.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 7, 2, 23
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\archive\list.tsx", "TypeScript JSX", 0, 359, 0, 0, 0, 11, 23, 393
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\pdl\archive.tsx", "TypeScript JSX", 0, 241, 0, 0, 0, 5, 16, 262
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\pdl\archived.tsx", "TypeScript JSX", 0, 236, 0, 0, 0, 4, 11, 251
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\report\certificate-of-detention.tsx", "TypeScript JSX", 0, 238, 0, 0, 0, 6, 30, 274
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\report\drug-clearing-certificate.tsx", "TypeScript JSX", 0, 335, 0, 0, 0, 6, 22, 363
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\report\drug-related-cases-monthly.tsx", "TypeScript JSX", 0, -53, 0, 0, 0, 0, -1, -54
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\report\no-records-certificate.tsx", "TypeScript JSX", 0, 292, 0, 0, 0, 12, 26, 330
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\time-allowance\list.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\pdl-is\resources\js\pages\admin\verification\list.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\pdl-is\resources\js\pages\dashboard.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 3, 3, 60
"c:\xampp\htdocs\pdl-is\resources\js\pages\law-enforcement\dashboard\dashboard.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\dashboard\dashboard.tsx", "TypeScript JSX", 0, -53, 0, 0, 0, -2, -3, -58
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\jail-events\jail-events.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 1, 5, 59
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\pdl-management\case-information.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 2, 3, 45
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\pdl-management\medical-records.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 2, 3, 45
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\pdl-management\personal-information-admin.tsx", "TypeScript JSX", 0, 442, 0, 0, 0, 8, 28, 478
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\pdl-management\personal-information.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, -1, 2, 16
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\pdl-management\physical-characteristics.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 2, 3, 45
"c:\xampp\htdocs\pdl-is\resources\js\pages\records-officer\profile-management\profile-management.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\pdl-is\resources\views\reports\certificate-of-detention.blade.php", "PHP", 159, 0, 0, 0, 0, 0, 32, 191
"c:\xampp\htdocs\pdl-is\resources\views\reports\drug-clearing-certificate.blade.php", "PHP", 215, 0, 0, 0, 0, 0, 36, 251
"c:\xampp\htdocs\pdl-is\resources\views\reports\inmates-status-daily.blade.php", "PHP", 345, 0, 0, 0, 0, 0, 35, 380
"c:\xampp\htdocs\pdl-is\resources\views\reports\no-records-certificate.blade.php", "PHP", 204, 0, 0, 0, 0, 0, 34, 238
"c:\xampp\htdocs\pdl-is\routes\web.php", "PHP", 22, 0, 0, 0, 0, 1, 8, 31
"Total", "-", 2109, 3174, 44, 489, 0, 296, 616, 6728
